"last_name, first_name","player_id","year","pa","hit","single","double","triple","home_run","batting_avg","slg_percent","on_base_percent","on_base_plus_slg","isolated_power","xba","xslg","woba","xwoba","xobp","xiso","wobacon","xwobacon","bacon","xbacon","xbadiff","xslgdiff","wobadiff","hard_hit_percent"
"Yelich, Christian",592885,2022,671,145,102,25,4,14,".252",".383",".355","0.738","0.131",".258",".402",".328",".338",".360",".145",".379",".396",".349",".357","-0.006","-0.019","-0.010",48.6
"Díaz, Yandy",650490,2022,558,140,98,33,0,9,".296",".423",".401","0.824","0.127",".288",".424",".366",".365",".395",".137",".355",".353",".338",".329",".008","-0.001",".001",49
"Thomas, Lane",657041,2022,548,120,75,26,2,17,".241",".404",".301","0.705","0.163",".222",".357",".308",".286",".286",".135",".371",".339",".323",".302",".019",".047",".022",34.5
"Cruz Jr., Nelson",443558,2022,507,105,79,16,0,10,".234",".337",".313","0.650","0.103",".241",".399",".292",".320",".323",".157",".334",".377",".316",".331","-0.007","-0.062","-0.028",46.1
"Melendez Jr., MJ",669004,2022,534,100,58,21,3,18,".217",".393",".313","0.706","0.176",".237",".410",".310",".332",".334",".173",".357",".392",".298",".331","-0.020","-0.017","-0.022",43.5
"Murphy, Sean",669221,2022,612,134,77,37,2,18,".250",".426",".332","0.758","0.176",".255",".439",".331",".344",".340",".184",".371",".390",".321",".333","-0.005","-0.013","-0.013",41.4
"Schoop, Jonathan",570731,2022,510,97,62,23,1,11,".202",".322",".239","0.561","0.120",".228",".338",".245",".268",".267",".111",".286",".318",".257",".294","-0.026","-0.016","-0.023",38.6
"Kiner-Falefa, Isiah",643396,2022,531,126,102,20,0,4,".261",".327",".314","0.641","0.066",".262",".333",".285",".290",".317",".071",".297",".304",".303",".306","-0.001","-0.006","-0.005",30.1
"Torres, Gleyber",650402,2022,572,135,82,28,1,24,".257",".451",".310","0.761","0.194",".244",".441",".328",".319",".298",".198",".398",".385",".338",".321",".013",".010",".009",45.3
"Straw, Myles",664702,2022,596,118,93,22,3,0,".221",".273",".291","0.564","0.052",".236",".301",".257",".275",".306",".065",".254",".278",".261",".281","-0.015","-0.028","-0.018",26.5
